stage,stage_epoch,seconds,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
head,1,9.054545085999962,1.5020775563735915,0.28974831184775934,0.2530380104976027,1.3524059906691135,0.38323353293413176,0.2938997492667875,0.001
head,2,5.599219345999927,1.3986351102901573,0.3523634131368938,0.316791608518157,1.3228595249667139,0.38622754491017963,0.293316618235185,0.001
head,3,4.960545197999977,1.3415309817897827,0.37139349294045426,0.3285641550460335,1.2767264171988664,0.44610778443113774,0.3337371573754683,0.001
head,4,6.758444953000094,1.3224469283521358,0.40331491712707185,0.38196370972506116,1.2916333554033748,0.39520958083832336,0.3470459900103666,0.001
head,5,4.827800504000038,1.3105878645543894,0.4174340085942296,0.39007181549709735,1.2716015434550667,0.46407185628742514,0.3412698412698413,0.001
full,1,8.691771947000007,1.1643985711115865,0.5211786372007366,0.49684674052017175,0.9884245417075243,0.6437125748502994,0.5620248122114351,1e-05
full,2,5.470348284000011,0.8696503126233396,0.7077961939840393,0.6883040866147936,0.8311992280497522,0.7544910179640718,0.7080613766696454,1e-05
full,3,5.147825801000067,0.7270419658730556,0.7648864333947207,0.7439131338702142,0.7662181982737102,0.7694610778443114,0.7389010668782852,1e-05
full,4,7.107326145000002,0.6223831417152236,0.8213627992633518,0.8132686629160278,0.6894397396527364,0.7904191616766467,0.7587889125502356,1e-05
full,5,5.0480731249999735,0.5405161440774954,0.8655616942909761,0.8535171078497584,0.6952017549269214,0.7994011976047904,0.7726851851851851,1e-05
full,6,6.44880410799999,0.5064216511537869,0.8747697974217311,0.8716237934918012,0.7647361434148457,0.7904191616766467,0.7512806468480382,1e-05
full,7,6.748667914999942,0.45436896948158706,0.9171270718232044,0.9203706699018632,0.690062333723742,0.811377245508982,0.7781311772986148,1e-05
full,8,5.097686124000006,0.4086017890749276,0.9373848987108656,0.935575350379497,0.6480762094794633,0.8203592814371258,0.7968399094731641,1e-05
full,9,7.041366442000026,0.3842859967783816,0.9422958870472683,0.9417409662489009,0.7164153603022684,0.8053892215568862,0.7655623718752869,1e-05
full,10,5.555761434000033,0.3557860376353349,0.9594843462246777,0.962266414918107,0.7380612553236727,0.811377245508982,0.7853975787297114,1e-05
full,11,8.575188036999975,0.3342811966359506,0.9711479435236341,0.9711100809892804,0.7287797845766216,0.8293413173652695,0.7972063044175054,1e-05
full,12,5.261481178000054,0.3340501629772034,0.9680785758133824,0.9642069949114289,0.7253099562165266,0.8173652694610778,0.7909617417258039,1e-05
full,13,6.035432287000049,0.32115682610124807,0.9748311847759361,0.9717764461780516,0.7344602214362093,0.8353293413173652,0.7986806073455548,1e-05
full,14,6.216413793000015,0.319108626862989,0.9723756906077348,0.9683977878243029,0.6948449372531411,0.8293413173652695,0.7969573050928982,1e-05
full,15,5.168499849,0.321972252548363,0.9772866789441375,0.9742355000024635,0.7405622266009896,0.8203592814371258,0.7904988967660899,1e-05
full,16,7.14791854300006,0.3132393787505804,0.9846531614487416,0.9835478197866336,0.6753501263921132,0.8353293413173652,0.7982644167426777,1e-05
