task,model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_class_counts,test_class_counts
arch,majority,1,0.7142857142857143,0.5,0.4166666666666667,0.5952380952380952,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,majority,2,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,3,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,4,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,5,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,6,0.7142857142857143,0.5,0.4166666666666667,0.5952380952380952,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,majority,7,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,8,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,9,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,10,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,11,0.7142857142857143,0.5,0.4166666666666667,0.5952380952380952,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,majority,12,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,13,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,14,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,15,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,16,0.7142857142857143,0.5,0.4166666666666667,0.5952380952380952,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,majority,17,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,18,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,19,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,20,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,21,0.7142857142857143,0.5,0.4166666666666667,0.5952380952380952,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,majority,22,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,23,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,24,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,25,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,1,0.7142857142857143,0.55,0.5367647058823529,0.6596638655462185,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C0.1,2,0.6,0.4666666666666667,0.4666666666666667,0.6,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,3,0.85,0.7666666666666666,0.7849462365591398,0.8440860215053764,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,4,0.65,0.5,0.4982078853046595,0.6362007168458781,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,5,0.75,0.5666666666666667,0.5670995670995671,0.7077922077922079,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,6,0.9047619047619048,0.8333333333333333,0.86875,0.8982142857142857,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C0.1,7,0.65,0.5666666666666667,0.561128526645768,0.6598746081504702,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,8,0.6,0.5333333333333333,0.5238095238095238,0.6190476190476191,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,9,0.75,0.5666666666666667,0.5670995670995671,0.7077922077922079,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,10,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,11,0.5714285714285714,0.5,0.49867374005305043,0.5805229253505116,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C0.1,12,0.8,0.6666666666666667,0.6875,0.78125,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,13,0.7,0.6666666666666666,0.6428571428571428,0.7142857142857142,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,14,0.65,0.5,0.4982078853046595,0.6362007168458781,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,15,0.8,0.6,0.6078431372549019,0.7450980392156862,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,16,0.8571428571428571,0.8500000000000001,0.8328912466843501,0.8601743084501705,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C0.1,17,0.7,0.4666666666666667,0.4117647058823529,0.6176470588235293,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,18,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,19,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,20,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,21,0.8571428571428571,0.8,0.81524926686217,0.8529534981147885,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C0.1,22,0.7,0.5333333333333333,0.53125,0.671875,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
