task,model,folds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max
arch,linear_svc_C0.1,25,0.6550476190476189,0.08538937537574397,0.45,0.8,0.5973333333333334,0.09914915811823898,0.3666666666666667,0.7833333333333333,0.5819863356702623,0.09226199051919315,0.3732193732193732,0.7407407407407407,0.6651032481844773,0.0768398518912598,0.48290598290598297,0.78125
arch,linear_svc_C1,25,0.661047619047619,0.0889939147112382,0.45,0.8,0.5993333333333333,0.09806932544171287,0.3666666666666667,0.7833333333333333,0.5856594173675375,0.0923819866985048,0.3732193732193732,0.7407407407407407,0.6695030739643087,0.07882238783169634,0.48290598290598297,0.78125
arch,logistic_C0.1,25,0.7141904761904762,0.09476190476190477,0.55,0.9047619047619048,0.5986666666666667,0.11333741822703733,0.43333333333333335,0.8500000000000001,0.5977364050702073,0.12163471498302654,0.4117647058823529,0.86875,0.7021883630257721,0.09045002402175391,0.5626959247648904,0.8982142857142857
arch,logistic_C1,25,0.7320000000000002,0.08466364466904915,0.6,0.9047619047619048,0.6186666666666667,0.10772478651466258,0.4666666666666667,0.8500000000000001,0.6189965687107937,0.1175594554543706,0.4117647058823529,0.86875,0.7193258047460839,0.08407777583324108,0.6,0.8982142857142857
arch,majority,25,0.7428571428571428,0.014580296087995102,0.7142857142857143,0.75,0.5,0.0,0.5,0.5,0.4261904761904761,0.004860098695998352,0.4166666666666667,0.42857142857142855,0.6333333333333333,0.019440394783993453,0.5952380952380952,0.6428571428571428
arch,mlp_small,25,0.6704761904761906,0.08949710425732195,0.55,0.8571428571428571,0.5613333333333334,0.1098947307738267,0.43333333333333335,0.8166666666666667,0.5530160991626508,0.11830707029028852,0.3939393939393939,0.81524926686217,0.6630690682029272,0.08403808049276891,0.5626959247648904,0.8529534981147885
arch,rbf_svc_C1,25,0.7204761904761904,0.06929007786401026,0.55,0.85,0.5453333333333332,0.0864045180574531,0.36666666666666664,0.7,0.5334610793486505,0.10968787890111119,0.3548387096774194,0.7402597402597402,0.6764852031232824,0.07275969691174806,0.5322580645161291,0.8246753246753247
arch,rbf_svc_C10,25,0.7447619047619048,0.05886540626226723,0.65,0.85,0.5446666666666666,0.08118337724399459,0.43333333333333335,0.7,0.5210673987092392,0.11727287775583448,0.3939393939393939,0.7402597402597402,0.6795401403474393,0.0773143370654253,0.5714285714285714,0.8246753246753247
whorl,linear_svc_C0.1,25,0.8641932639746076,0.02915521371278498,0.794392523364486,0.9065420560747663,0.4150458891460365,0.08988743823857534,0.2891156462585034,0.5994845360824742,0.4126206026716344,0.09090622253349298,0.2951388888888889,0.6035060177917321,0.8615816003324221,0.02365393769164535,0.810942367601246,0.9040880503144654
whorl,linear_svc_C1,25,0.8638229589137717,0.026768136093783958,0.8037383177570093,0.9150943396226415,0.41424036281179144,0.09451731471945425,0.2925170068027211,0.6029209621993127,0.4096745280918666,0.09211982432228177,0.2970639032815198,0.6108780108780109,0.8612510598816067,0.02265097723836308,0.8162316594838022,0.9111668206007829
whorl,logistic_C0.1,25,0.8701992593898784,0.024551836889749837,0.822429906542056,0.9065420560747663,0.4706377258807303,0.07526829614204071,0.3759450171821306,0.6621993127147766,0.4641931359102634,0.06456452277226242,0.3745922087891,0.5706646294881589,0.8708732820810029,0.018460575097927714,0.8323838416317743,0.8995967687556472
whorl,logistic_C1,25,0.8747134544172104,0.024983576429231335,0.822429906542056,0.9158878504672897,0.4640244991467377,0.08421234756973431,0.3129251700680272,0.6690721649484536,0.461689789601399,0.07274730021262721,0.3082077051926298,0.5975851309184642,0.8729300533033252,0.01912370443656592,0.8331993608057721,0.9015134607337145
whorl,majority,25,0.9137012872509258,0.0036713388297246355,0.9065420560747663,0.9158878504672897,0.33333333333333337,5.665583147960493e-17,0.3333333333333333,0.3333333333333333,0.3183003708912777,0.0006701670156166356,0.31699346405228757,0.3186991869918699,0.8725014618280185,0.005332176902683033,0.8621037199926699,0.8756781399589696
whorl,rbf_svc_C1,25,0.9114582965967201,0.0064783029865713776,0.897196261682243,0.9245283018867925,0.33757402342380255,0.018855343980478573,0.32989690721649484,0.39999999999999997,0.32676750846452435,0.03145755643099258,0.31527093596059114,0.4312431243124312,0.8726024524182692,0.00850327582648768,0.8574190875189908,0.894576250077838
whorl,rbf_svc_C10,25,0.9137012872509258,0.0036713388297246355,0.9065420560747663,0.9158878504672897,0.33333333333333337,5.665583147960493e-17,0.3333333333333333,0.3333333333333333,0.3183003708912777,0.0006701670156166356,0.31699346405228757,0.3186991869918699,0.8725014618280185,0.005332176902683033,0.8621037199926699,0.8756781399589696
