task,model,repeat,split,split_seed,train_rows,test_rows,train_subjects,test_subjects,subject_overlap,accuracy,balanced_accuracy,macro_f1,weighted_f1,test_class_counts
arch,majority,1,1,244664,85,16,26,5,0,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 12, 'tented_arch': 4}"
arch,majority,1,2,244664,82,19,24,7,0,0.6842105263157895,0.5,0.40625,0.555921052631579,"{'plain_arch': 13, 'tented_arch': 6}"
arch,majority,1,3,244664,81,20,25,6,0,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 15, 'tented_arch': 5}"
arch,majority,1,4,244664,73,28,24,7,0,0.6785714285714286,0.5,0.40425531914893614,0.5486322188449847,"{'plain_arch': 19, 'tented_arch': 9}"
arch,majority,1,5,244664,83,18,25,6,0,0.8888888888888888,0.5,0.47058823529411764,0.8366013071895425,"{'plain_arch': 16, 'tented_arch': 2}"
arch,majority,2,1,244665,82,19,24,7,0,0.5789473684210527,0.5,0.36666666666666664,0.4245614035087719,"{'plain_arch': 11, 'tented_arch': 8}"
arch,majority,2,2,244665,75,26,24,7,0,0.8846153846153846,0.5,0.46938775510204084,0.8304552590266876,"{'plain_arch': 23, 'tented_arch': 3}"
arch,majority,2,3,244665,79,22,26,5,0,0.7272727272727273,0.5,0.42105263157894735,0.6124401913875598,"{'plain_arch': 16, 'tented_arch': 6}"
arch,majority,2,4,244665,78,23,24,7,0,0.782608695652174,0.5,0.43902439024390244,0.6871686108165429,"{'plain_arch': 18, 'tented_arch': 5}"
arch,majority,2,5,244665,90,11,26,5,0,0.6363636363636364,0.5,0.3888888888888889,0.494949494949495,"{'plain_arch': 7, 'tented_arch': 4}"
arch,majority,3,1,244666,95,6,27,4,0,0.8333333333333334,0.5,0.45454545454545453,0.7575757575757575,"{'plain_arch': 5, 'tented_arch': 1}"
arch,majority,3,2,244666,91,10,27,4,0,0.3,0.5,0.23076923076923078,0.13846153846153847,"{'plain_arch': 3, 'tented_arch': 7}"
arch,majority,3,3,244666,72,29,24,7,0,0.7931034482758621,0.5,0.4423076923076923,0.7015915119363395,"{'plain_arch': 23, 'tented_arch': 6}"
arch,majority,3,4,244666,71,30,23,8,0,0.8333333333333334,0.5,0.45454545454545453,0.7575757575757576,"{'plain_arch': 25, 'tented_arch': 5}"
arch,majority,3,5,244666,75,26,23,8,0,0.7307692307692307,0.5,0.4222222222222222,0.6170940170940171,"{'plain_arch': 19, 'tented_arch': 7}"
arch,majority,4,1,244668,76,25,26,5,0,0.72,0.5,0.4186046511627907,0.6027906976744186,"{'plain_arch': 18, 'tented_arch': 7}"
arch,majority,4,2,244668,81,20,24,7,0,0.8,0.5,0.4444444444444444,0.711111111111111,"{'plain_arch': 16, 'tented_arch': 4}"
arch,majority,4,3,244668,93,8,26,5,0,0.625,0.5,0.38461538461538464,0.4807692307692308,"{'plain_arch': 5, 'tented_arch': 3}"
arch,majority,4,4,244668,91,10,25,6,0,0.5,0.5,0.3333333333333333,0.3333333333333333,"{'plain_arch': 5, 'tented_arch': 5}"
arch,majority,4,5,244668,63,38,23,8,0,0.8157894736842105,0.5,0.4492753623188406,0.73302822273074,"{'plain_arch': 31, 'tented_arch': 7}"
arch,majority,5,1,244669,84,17,27,4,0,0.7647058823529411,0.5,0.43333333333333335,0.6627450980392158,"{'plain_arch': 13, 'tented_arch': 4}"
