task,model,folds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max
arch,linear_svc_C0.1,25,0.6148114487222243,0.11422613838379837,0.4444444444444444,0.9090909090909091,0.5750590118767169,0.1248517839111091,0.3,0.875,0.5340181000476495,0.11892502747553382,0.3333333333333333,0.8952380952380952,0.6271968050795259,0.10939215152961283,0.45054945054945056,0.9056277056277057
arch,linear_svc_C1,25,0.6087788309005598,0.11086386011305348,0.4444444444444444,0.9090909090909091,0.5645600815799605,0.12705333897742488,0.3,0.875,0.5229031330957729,0.11951087353099044,0.3333333333333333,0.8952380952380952,0.6200050311418295,0.1069432866644405,0.45054945054945056,0.9056277056277057
arch,logistic_C0.1,25,0.6394819856061913,0.12267884044599424,0.3,0.8181818181818182,0.5616140684270824,0.1007468957504763,0.3,0.75,0.5208169396818483,0.11643167334831224,0.23076923076923078,0.7708333333333333,0.6272410190070674,0.14455878663616928,0.13846153846153847,0.8043956043956043
arch,logistic_C1,25,0.6442722753855277,0.12031386972035235,0.3,0.8181818181818182,0.5671541172671312,0.10642883859518865,0.3,0.75,0.5267058045879448,0.11797190284424094,0.23076923076923078,0.7708333333333333,0.6330199141083505,0.1424534000814884,0.13846153846153847,0.8260722728807836
arch,majority,25,0.7114831575387284,0.15726395064771886,0.3,0.8888888888888888,0.5,0.0,0.5,0.5,0.4101603580007872,0.06338611529652481,0.23076923076923078,0.47058823529411764,0.6026455990758819,0.18928080917903098,0.13846153846153847,0.8366013071895425
arch,mlp_small,25,0.5986798420170912,0.12444217233880364,0.3333333333333333,0.8,0.5090879021514071,0.11102700332745563,0.2,0.6458333333333333,0.4723601999034824,0.10770152057702831,0.25,0.65,0.5896217379527249,0.12730299751958496,0.375,0.8
arch,rbf_svc_C1,25,0.6627235013301825,0.14438579263099302,0.3,0.8181818181818182,0.5338288460209033,0.09779129156998739,0.2,0.75,0.48927980957757117,0.12459775256781482,0.23076923076923078,0.7708333333333333,0.6206746592422024,0.16566305741519885,0.13846153846153847,0.8260722728807836
arch,rbf_svc_C10,25,0.6839378118856426,0.13153887770406203,0.3,0.8518518518518519,0.5145971134321581,0.07534040503485363,0.3,0.625,0.4643983660483306,0.10250743957978044,0.23076923076923078,0.6231884057971014,0.6215928187129215,0.15763491702308755,0.13846153846153847,0.8461538461538461
whorl,linear_svc_C0.1,25,0.8531814524276807,0.03396798961476997,0.8058252427184466,0.9354838709677419,0.43387231086309,0.11773340206080855,0.28997289972899726,0.7198879551820728,0.40251559190829006,0.0748186985725674,0.2993827160493827,0.5759537733221943,0.8524798711673688,0.04015272498073481,0.7734153656483754,0.9314516129032258
whorl,linear_svc_C1,25,0.851700863014038,0.033850454798118934,0.8058252427184466,0.9193548387096774,0.43055939929176135,0.11825016988165125,0.28997289972899726,0.7142857142857143,0.3978156042713148,0.07668912671534982,0.3010752688172043,0.637275307473983,0.8520945221481923,0.039593505191313515,0.7734153656483754,0.9206231044940724
whorl,logistic_C0.1,25,0.8709005697349878,0.025951214254696552,0.8241758241758241,0.9274193548387096,0.4685964403897919,0.11899171788290182,0.3125,0.8055555555555555,0.4460404980857464,0.08550800578471739,0.30612244897959184,0.7036905746583165,0.8691635032845588,0.03732872191034548,0.7840541335686968,0.9223881467654437
whorl,logistic_C1,25,0.8730198616688195,0.02864514345164192,0.8241758241758241,0.9274193548387096,0.4468827156340107,0.10938962472638251,0.3058419243986254,0.8090277777777778,0.43592110452110366,0.0921987911382782,0.3058419243986254,0.7141159494100671,0.8688911627877642,0.03928168677371333,0.7879203602082454,0.9250916606713293
whorl,majority,25,0.91156067655251,0.035437009926126625,0.8446601941747572,0.9578947368421052,0.33333333333333337,5.665583147960493e-17,0.3333333333333333,0.3333333333333333,0.3177952456686126,0.006533101213634672,0.30526315789473685,0.32616487455197135,0.8697356160991823,0.05127839033756848,0.7735309146653041,0.9372948500282966
whorl,rbf_svc_C1,25,0.9065133605873937,0.03472705943914978,0.8351648351648352,0.9578947368421052,0.33149980688318953,0.0018725722149656424,0.32791327913279134,0.3333333333333333,0.3168756738001221,0.006436047568512233,0.30339321357285426,0.32616487455197135,0.8672040643889559,0.05079604546817797,0.7701520036849377,0.9372948500282966
whorl,rbf_svc_C10,25,0.9107641637726409,0.035572708020072945,0.8446601941747572,0.9578947368421052,0.33304167662761974,0.001009860528502477,0.3295880149812734,0.3333333333333333,0.317648975967417,0.0065552284948254035,0.30526315789473685,0.32616487455197135,0.8693361544105815,0.05131427059916291,0.7735309146653041,0.9372948500282966
