task,model,label,folds,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_total
arch,linear_svc_C0.1,plain_arch,25,0.7587515823322378,0.17825497382992514,0.6706894523248624,0.20184441067050718,0.6885123338686466,0.15492589335363613,375.0
arch,linear_svc_C0.1,tented_arch,25,0.3802150072150072,0.2560454218896322,0.4794285714285714,0.2667876866987727,0.3795238662266526,0.19486142941366558,130.0
arch,linear_svc_C1,plain_arch,25,0.7530387820606141,0.17801941300917046,0.6698503218900798,0.20057498553410896,0.685364135223099,0.15262948774474916,375.0
arch,linear_svc_C1,tented_arch,25,0.36110389610389604,0.26683659636634,0.45926984126984133,0.27874884309626263,0.36044213096844674,0.20585933726033825,130.0
arch,logistic_C0.1,plain_arch,25,0.7420812901819767,0.1622478163998526,0.7936884543144821,0.17002432487336275,0.7424279545695365,0.12028761410408466,375.0
arch,logistic_C0.1,tented_arch,25,0.40331746031746024,0.3394510349417672,0.3295396825396826,0.22733662781179625,0.2992059247941601,0.17769306266437415,130.0
arch,logistic_C1,plain_arch,25,0.7456412506893056,0.15938743195455338,0.7923875996136275,0.16797551338612265,0.7447948533826632,0.11740077294593057,375.0
arch,logistic_C1,tented_arch,25,0.3928629148629149,0.3169682271239856,0.3419206349206349,0.23532060768615326,0.30861675579322634,0.18656366369239946,130.0
arch,majority,plain_arch,25,0.7114831575387284,0.15726395064771886,1.0,0.0,0.8203207160015744,0.12677223059304962,375.0
arch,majority,tented_arch,25,0.0,0.0,0.0,0.0,0.0,0.0,130.0
arch,mlp_small,plain_arch,25,0.7124537984890925,0.17418784031100665,0.73720755033456,0.1991631023574794,0.7003766259337791,0.15295329570270527,375.0
arch,mlp_small,tented_arch,25,0.2793333333333333,0.25885464188146745,0.2809682539682539,0.23417424193491024,0.24434377387318562,0.18177658159968935,130.0
arch,rbf_svc_C1,plain_arch,25,0.7239184270782737,0.15885572833778344,0.8758481682322828,0.15447523695230686,0.7727125773081005,0.12955048334872837,375.0
arch,rbf_svc_C1,tented_arch,25,0.3297142857142857,0.35696498215971295,0.1918095238095238,0.17534320686825416,0.20584704184704183,0.1838445442885195,130.0
arch,rbf_svc_C10,plain_arch,25,0.7190429619148155,0.14987747216510733,0.9279878776579669,0.10153698066814683,0.7952729225728516,0.11463424716582328,375.0
arch,rbf_svc_C10,tented_arch,25,0.288,0.383077209121279,0.1012063492063492,0.13103655303499295,0.13352380952380952,0.16327026872654368,130.0
whorl,linear_svc_C0.1,central_pocket_loop_whorl,25,0.08847619047619046,0.11813675345550513,0.16504761904761903,0.26208752641847954,0.10147474747474748,0.13423690112855008,100.0
whorl,linear_svc_C0.1,double_loop_whorl,25,0.20376623376623373,0.2102025364258162,0.21603463203463202,0.24266082045310708,0.18600577200577198,0.18437704775300431,130.0
whorl,linear_svc_C0.1,plain_whorl,25,0.9215675960315055,0.034960170679349575,0.9205346815070193,0.03761195626757293,0.9200662562443508,0.019609501236328767,2435.0
whorl,linear_svc_C1,central_pocket_loop_whorl,25,0.09195382395382395,0.1269483289433379,0.17304761904761903,0.2662187280915768,0.10575180375180375,0.1405987611207504,100.0
whorl,linear_svc_C1,double_loop_whorl,25,0.17663780663780662,0.2039270321280501,0.1996709956709957,0.2441107871395048,0.16787449152155035,0.18120612804181946,130.0
whorl,linear_svc_C1,plain_whorl,25,0.922701543630732,0.034376418111914685,0.9189595831566695,0.03868747493660749,0.9198205175405905,0.019649564566100248,2435.0
whorl,logistic_C0.1,central_pocket_loop_whorl,25,0.22288888888888891,0.29782441591657555,0.19338095238095235,0.24772254399982355,0.1543008103008103,0.14954793888545181,100.0
whorl,logistic_C0.1,double_loop_whorl,25,0.2636421356421356,0.2237684025151475,0.2801818181818182,0.2660646003459586,0.2538021978021978,0.22465940497564177,130.0
whorl,logistic_C0.1,plain_whorl,25,0.9291866812128984,0.03307647727957774,0.9322265506066052,0.026341514649178506,0.9300184861542313,0.015418275142093436,2435.0
whorl,logistic_C1,central_pocket_loop_whorl,25,0.17933333333333334,0.24576411454889016,0.141,0.18336363385966756,0.1325137085137085,0.14668222181096122,100.0
whorl,logistic_C1,double_loop_whorl,25,0.24685714285714283,0.2210129227401434,0.26305627705627704,0.2512505556230029,0.2438538324420677,0.219997033746835,130.0
whorl,logistic_C1,plain_whorl,25,0.9272383088572763,0.03209697001996086,0.9365918698457552,0.021290822821563776,0.931395772607535,0.016495140158556836,2435.0
whorl,majority,central_pocket_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
whorl,majority,double_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,130.0
whorl,majority,plain_whorl,25,0.91156067655251,0.035437009926126625,1.0,0.0,0.9533857370058378,0.019599303640903995,2435.0
whorl,rbf_svc_C1,central_pocket_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
whorl,rbf_svc_C1,double_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,130.0
whorl,rbf_svc_C1,plain_whorl,25,0.9111467316684643,0.035514683530217084,0.9944994206495688,0.005617716644896952,0.9506270214003663,0.01930814270553669,2435.0
whorl,rbf_svc_C10,central_pocket_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
whorl,rbf_svc_C10,double_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,130.0
whorl,rbf_svc_C10,plain_whorl,25,0.9114885396004416,0.035440605324481594,0.9991250298828592,0.0030295815855074463,0.9529469279022509,0.01966568548447619,2435.0
